CommonName,Long_1,Fire_K,Seed_2,Snow_K,WL__6,Poll_Abiotic,Disp_Wind,Disp_Invert_ext_,Glycophyte
sp0001,0,0,1,0,0,0,1,0,0
sp0002,0,1,0,0,0,1,0,1,1
sp0003,0,0,0,0,1,0,0,1,0
sp0004,0,0,0,0,0,0,0,0,0
sp0005,0,0,0,0,0,0,1,0,0
sp0006,0,0,0,0,0,0,1,0,0
sp0007,0,0,1,0,1,0,0,1,1
sp0008,0,0,1,0,0,0,1,0,0
sp0009,0,0,0,0,0,0,1,0,0
sp0010,0,0,1,0,0,0,1,0,0
sp0011,0,0,0,0,0,0,0,1,1
sp0012,0,0,0,0,1,0,0,0,1
sp0013,0,0,1,0,1,0,0,1,1
sp0014,0,0,1,0,0,0,1,0,0
sp0015,0,0,0,0,0,0,0,1,1
sp0016,0,1,0,0,1,0,0,1,1
sp0017,0,1,1,0,0,0,1,0,1
sp0018,0,0,0,0,1,0,0,1,1
sp0019,0,1,0,0,1,1,0,0,1
sp0020,0,0,0,0,0,1,0,0,0
sp0021,0,0,0,0,0,0,0,1,0
sp0022,0,0,1,0,0,0,1,0,1
sp0023,0,0,0,0,0,1,0,0,0
sp0024,0,1,0,0,1,0,0,1,0
sp0025,0,1,0,0,0,0,0,1,0
sp0026,1,1,0,0,0,0,0,1,0
sp0027,1,1,0,0,0,0,0,0,0
sp0028,1,1,0,1,0,0,1,0,0
sp0029,1,1,0,0,1,0,0,1,0
sp0030,1,1,0,0,0,0,1,0,0
sp0031,1,1,1,1,0,0,1,0,0
sp0032,0,1,0,0,0,0,1,0,0
sp0033,0,1,0,1,0,0,1,0,0
sp0034,1,1,0,1,0,0,0,1,0
sp0035,1,1,0,1,0,0,0,1,0
sp0036,0,0,1,0,0,0,1,0,0
sp0037,0,0,1,0,0,0,1,0,1
sp0038,0,0,1,0,0,1,1,0,1
sp0039,0,0,0,0,0,0,0,1,1
sp0040,0,0,1,0,1,0,0,0,0
sp0041,0,0,1,0,0,0,0,1,0
sp0042,0,0,0,0,0,0,0,0,0
sp0043,0,1,0,0,0,0,0,0,0
sp0044,0,0,1,0,1,0,1,0,0
sp0045,0,0,1,1,1,0,1,0,0
sp0046,0,1,0,0,0,0,0,0,0
sp0047,0,0,0,0,1,1,0,0,0
sp0048,0,1,0,0,0,0,1,0,0
sp0049,0,0,0,0,0,0,0,0,0
sp0050,0,1,0,0,0,0,0,1,0
sp0051,0,1,0,0,0,0,0,0,0
sp0052,0,0,0,0,0,0,0,0,0
sp0053,0,0,1,0,0,0,0,1,1
sp0054,1,1,0,0,0,0,0,0,0
sp0055,0,0,1,0,1,0,0,0,0
sp0056,0,1,0,1,0,0,0,1,0
sp0057,0,1,0,0,0,0,0,0,0
sp0058,0,0,1,0,0,0,0,0,0
sp0059,1,1,0,0,0,1,0,0,0
sp0060,0,0,0,0,0,1,0,0,0
sp0061,1,1,1,0,0,1,1,0,0
sp0062,0,0,1,0,0,0,1,0,1
sp0063,0,0,1,1,0,0,1,0,0
sp0064,0,1,0,1,0,1,0,1,0
sp0065,0,0,1,0,0,0,1,0,0
sp0066,0,0,1,1,0,0,1,0,0
sp0067,0,0,1,0,0,0,1,0,0
sp0068,0,0,1,1,0,0,1,0,0
sp0069,0,1,1,0,1,0,0,1,1
sp0070,0,1,0,1,1,1,0,0,0
sp0071,0,1,0,0,0,0,1,0,0
sp0072,0,0,0,0,0,0,0,1,0
sp0073,0,0,1,0,0,0,1,0,0
sp0074,0,0,1,1,0,0,1,0,0
sp0075,1,1,0,1,0,0,0,0,1
sp0076,1,1,0,1,0,0,1,0,0
sp0077,0,0,0,0,0,0,0,1,0
sp0078,0,1,0,1,0,1,0,0,0
sp0079,0,0,1,0,0,1,0,0,0
sp0080,0,0,0,0,0,0,0,1,0
sp0081,0,0,1,0,0,0,1,0,0
sp0082,0,0,1,0,0,0,1,0,0
sp0083,0,0,1,1,0,0,1,0,0
sp0084,0,0,1,1,0,0,1,0,0
sp0085,0,0,0,1,0,0,1,0,0
sp0086,0,0,1,0,1,0,1,0,0
sp0087,0,0,1,0,1,0,1,0,0
sp0088,0,0,1,1,0,0,0,0,0
sp0089,0,0,1,0,0,0,0,0,1
sp0090,0,0,1,0,0,0,1,0,1
sp0091,0,0,1,1,0,0,0,1,1
sp0092,1,1,0,1,0,0,0,0,0
sp0093,0,0,1,0,0,0,0,0,1
sp0094,0,0,0,1,0,0,0,0,0
sp0095,0,0,0,0,0,0,0,0,0
sp0096,0,0,1,0,0,0,1,0,1
sp0097,0,1,1,1,0,0,0,0,0
sp0098,0,0,0,1,0,1,0,1,0
sp0099,0,0,0,0,0,0,0,0,0
sp0100,0,0,1,0,0,0,1,0,0
sp0101,0,0,0,1,0,0,0,0,0
sp0102,0,0,1,0,0,0,1,0,1
sp0103,0,0,0,0,1,0,0,0,0
sp0104,0,0,0,0,1,0,1,0,0
sp0105,0,1,1,0,1,0,1,0,0
sp0106,0,0,0,0,0,0,0,0,0
sp0107,0,1,0,1,0,1,0,1,0
sp0108,0,1,1,1,0,0,1,0,1
sp0109,1,1,0,1,0,0,0,0,1
sp0110,0,0,0,1,0,1,1,0,0
sp0111,0,0,0,1,1,0,0,0,0
sp0112,0,1,1,0,0,0,0,1,1
sp0113,1,1,0,1,0,0,1,0,0
sp0114,0,0,0,1,0,0,0,1,0
sp0115,0,0,0,0,0,0,0,1,0
sp0116,0,0,1,0,0,0,1,0,0
sp0117,0,0,1,1,0,0,0,0,1
sp0118,0,0,0,1,1,0,1,0,0
sp0119,0,0,1,0,0,1,1,0,0
sp0120,0,0,1,1,0,0,0,0,0
sp0121,1,1,0,0,0,0,1,0,0
sp0122,0,0,1,0,0,0,0,1,0
sp0123,0,0,0,0,0,0,0,1,1
sp0124,0,0,1,1,0,0,1,0,0
sp0125,0,0,1,0,0,0,1,0,0
sp0126,0,0,0,0,1,0,0,0,1
sp0127,0,0,0,0,0,1,0,0,0
sp0128,0,1,0,0,1,1,0,0,0
sp0129,0,0,0,0,0,0,0,1,0
sp0130,0,0,0,0,0,0,1,0,0
sp0131,0,0,1,1,0,0,1,0,1
sp0132,0,0,1,0,0,0,1,0,0
sp0133,0,0,1,0,0,0,0,0,0
sp0134,1,1,0,1,0,0,0,0,0
sp0135,0,1,0,1,0,0,0,0,0
sp0136,1,1,0,1,0,0,0,0,0
sp0137,0,0,1,0,0,0,1,0,0
sp0138,0,1,0,1,0,0,0,0,0
sp0139,1,1,1,1,0,0,0,1,0
sp0140,0,0,1,0,0,0,1,0,1
sp0141,1,1,0,1,0,0,1,0,0
